Wavelength,AREF_Mean,AREF_1,AREF_2,AREF_3,AREF_4,AREF_5,AREF_6,AREF_7,AREF_8,AREF_9,AREF_10,AREF_11,AREF_12,RREF_Mean,RREF_1,RREF_2,RREF_3,RREF_4,RREF_5,RREF_6,RREF_7,RREF_8
0.34999999,0.05378590090909092,0.047480248,0.019714585,0.074964412,0.067755938,0.078433454,0.074564546,0.070262663,0.056008916,0.038971182,,0.041271307,0.022217659,,,,,,,,,
0.35100001,0.05403232025000001,0.047565293,0.01919933,0.074866228,0.068019062,0.078679837,0.074616358,0.070045076,0.056023523,0.038756989,0.0567143,0.041488595,0.022413252,,,,,,,,,
0.352,0.05407336000000001,0.047668099,0.018704059,0.074762411,0.068321057,0.079091758,0.074690245,0.069898702,0.055936385,0.038554605,0.05691753,0.04171345,0.022622019,,,,,,,,,
0.35299999,0.053977526,0.047787942,0.018265283,0.074669719,0.068618461,0.079627521,0.07478568,0.069840916,0.055771973,0.038383242,0.055226497,0.041935258,0.02281782,,,,,,,,,
0.354,0.053983281083333334,0.047924418,0.017911635,0.074603915,0.068884768,0.080217332,0.074903756,0.069873184,0.055566058,0.038255483,0.054535657,0.042144239,0.022978928,,,,,,,,,
0.35499999,0.05420509325,0.048077185,0.017656848,0.074580826,0.069119394,0.080782339,0.075045459,0.069978967,0.055358484,0.038175307,0.05625749,0.042334799,0.023094021,,,,,,,,,
0.35600001,0.05446892066666667,0.048245687,0.017498922,0.07461454,0.069338337,0.081258379,0.075210817,0.070131488,0.055183273,0.038138527,0.058337338,0.042506732,0.023163008,,,,,,,,,
0.35699999,0.05459705149999999,0.0484288,0.017424371,0.074713558,0.069555715,0.081610404,0.075399287,0.070304692,0.055062026,0.038134526,0.058673572,0.04266357,0.023194097,,,,,,,,,
0.35800001,0.054661221499999996,0.048625037,0.017413994,0.074877463,0.0697712,0.081836253,0.075610749,0.070481464,0.055001855,0.038148817,0.058157366,0.042809747,0.023200713,,,,,,,,,
0.359,0.05475091199999999,0.048832968,0.017448364,0.07509663,0.069970198,0.081960775,0.075846061,0.070656367,0.054998171,0.038166441,0.057887666,0.042948067,0.023199236,,,,,,,,,
0.36000001,0.054861943249999996,0.049051847,0.017511725,0.075355634,0.070134118,0.082022995,0.076106787,0.070833161,0.055041309,0.038175434,0.057824284,0.043079022,0.023207003,,,,,,,,,
0.361,0.055107465916666674,0.049281616,0.017592879,0.075637214,0.070251726,0.082064129,0.076393798,0.071019903,0.055123013,0.038168821,0.059314229,0.043201931,0.023240332,,,,,,,,,
0.36199999,0.05528552474999999,0.049522713,0.017684251,0.075925454,0.070325695,0.082119711,0.076705836,0.071224898,0.055240892,0.038145065,0.059902277,0.043316979,0.023312526,,,,,,,,,
0.36300001,0.055353389,0.049775451,0.017779998,0.076207243,0.070375346,0.082215972,0.077037625,0.071454063,0.055400558,0.038107853,0.059027869,0.043427467,0.023431223,,,,,,,,,
0.36399999,0.05554517975000001,0.050038975,0.017873989,0.076473944,0.07043469,0.082366198,0.077377789,0.071708508,0.055614289,0.038065478,0.059453387,0.043541808,0.023593102,,,,,,,,,
0.36500001,0.05574728791666667,0.050310567,0.017958835,0.0767233,0.070540018,0.082569599,0.077709675,0.071983986,0.055894278,0.038027991,0.059796669,0.043672565,0.023779972,,,,,,,,,
0.366,0.0559449195,0.050586019,0.018027036,0.076959662,0.070711918,0.082815252,0.078016356,0.072272889,0.056241602,0.038003087,0.059912652,0.043830801,0.02396176,,,,,,,,,
