Wavelength,AREF_Mean,AREF_1,AREF_2,AREF_3,AREF_4,AREF_5,AREF_6,AREF_7,AREF_8,AREF_9,AREF_10,AREF_11,AREF_12,AREF_13,AREF_14,AREF_15,AREF_16,AREF_17,AREF_18,AREF_19,AREF_20,RREF_Mean,RREF_1,RREF_2,RREF_3,RREF_4,RREF_5,RREF_6,RREF_7,RREF_8,RREF_9,RREF_10,RREF_11,RREF_12,RREF_13
0.34999999,0.3471168315384615,0.22679354,0.39821801,0.23374923,,0.40017772,,0.38457939,,0.28679118,,0.48587105,0.34636402,0.43874523,0.46330041,,,0.33421063,,0.25504601,0.25867239,,,,,,,,,,,,,,
0.35100001,0.36415326850000007,0.22770728,0.40057272,0.23707967,0.50939304,0.4024421,0.51152128,0.39039111,0.32038292,0.29016581,0.3034569,0.49022898,0.35086715,0.44339406,0.4691433,0.37758085,0.34479466,0.33820984,0.35522166,0.2581259,0.26238614,,,,,,,,,,,,,,
0.352,0.3670378165,0.2285884,0.40275034,0.24041207,0.51111978,0.40476337,0.51281679,0.39609951,0.32338527,0.29348853,0.30623877,0.49437758,0.35530463,0.44790715,0.47485027,0.37839147,0.34865087,0.3418847,0.35253695,0.26110578,0.2660841,,,,,,,,,,,,,,
0.35299999,0.36845545949999997,0.22945669,0.40474522,0.24374031,0.51277322,0.40714887,0.51464206,0.40166444,0.32635534,0.29675233,0.30883759,0.49832514,0.35968223,0.45226282,0.48038343,0.37197861,0.33780399,0.3452532,0.34361461,0.26394764,0.26974145,,,,,,,,,,,,,,
0.354,0.3695471,0.23032372,0.40655604,0.24704625,0.51438278,0.40959528,0.51703656,0.40703264,0.32905585,0.29993281,0.31139511,0.502087,0.36399311,0.45643786,0.4857004,0.3599655,0.32585618,0.34836349,0.33623683,0.26661673,0.27332786,,,,,,,,,,,,,,
0.35499999,0.373160014,0.23119079,0.40818647,0.25030324,0.51620722,0.41208774,0.51875407,0.41214269,0.33129457,0.30298957,0.31427109,0.50567913,0.36821371,0.46041402,0.49075887,0.36373499,0.33497337,0.35126999,0.34482241,0.26909149,0.27681485,,,,,,,,,,,,,,
0.35600001,0.37742174100000003,0.23205231,0.40964082,0.25348318,0.51792043,0.41460499,0.52048153,0.41692999,0.33341226,0.3058753,0.31662568,0.50910717,0.37230858,0.46418077,0.49551803,0.37535176,0.34968606,0.35400853,0.35570017,0.27136815,0.28017911,,,,,,,,,,,,,,
0.35699999,0.37899788,0.23290125,0.4109199,0.25656107,0.51965195,0.41712546,0.52236146,0.42133108,0.33545208,0.30854526,0.31854644,0.51235873,0.37623841,0.46773326,0.49993777,0.37546849,0.343505,0.35658583,0.34787479,0.27345815,0.28340122,,,,,,,,,,,,,,
0.35800001,0.38004201300000007,0.23373343,0.41202137,0.25951821,0.52155918,0.41963419,0.52436513,0.42529419,0.33736762,0.31096804,0.32032752,0.51540649,0.3799701,0.47107217,0.50398457,0.3691718,0.33603144,0.35898575,0.33957863,0.27538344,0.28646699,,,,,,,,,,,,,,
0.359,0.3816616085000001,0.23454827,0.41294336,0.26234242,0.52351999,0.42212617,0.52633613,0.42879125,0.33910844,0.31313172,0.32208061,0.51821947,0.38348266,0.47420362,0.50763971,0.36450732,0.33361584,0.3611832,0.33891234,0.27716908,0.28937057,,,,,,,,,,,,,,
0.36000001,0.3834503855,0.23534718,0.41368812,0.26502702,0.52550149,0.42460749,0.52847022,0.43182465,0.34069908,0.31504467,0.32377565,0.52077645,0.38676888,0.47713941,0.5109055,0.36358592,0.33081347,0.36315894,0.3409183,0.27883711,0.29211816,,,,,,,,,,,,,,
0.361,0.38551028049999986,0.23613106,0.41426435,0.26756915,0.52752519,0.42709199,0.53068405,0.43442732,0.34220117,0.31673247,0.32539681,0.52307492,0.38983342,0.47989711,0.51380742,0.36507112,0.33403406,0.36490965,0.34242117,0.2804043,0.29472888,,,,,,,,,,,,,,
0.36199999,0.38741899399999996,0.23689878,0.41468662,0.2699689,0.52963895,0.42959863,0.53279752,0.43665728,0.34369156,0.318234,0.32694528,0.52513415,0.39269045,0.48250014,0.51639217,0.36768416,0.33774155,0.36645138,0.34155133,0.28188306,0.29723397,,,,,,,,,,,,,,
0.36300001,0.3890469290000001,0.23764645,0.41497475,0.27222988,0.53182131,0.43214875,0.53517902,0.43859562,0.34519303,0.31960085,0.32847524,0.52699667,0.39536342,0.48497921,0.51872814,0.36931279,0.33842042,0.36782315,0.34048817,0.2832858,0.29967591,,,,,,,,,,,,,,
0.36399999,0.39020415399999997,0.23836817,0.41515368,0.27436364,0.53412962,0.43476206,0.53773195,0.44034731,0.34664983,0.32089916,0.32991478,0.52873063,0.39788917,0.48737547,0.52090752,0.36484009,0.3370322,0.36909175,0.33915767,0.28463209,0.30210629,,,,,,,,,,,,,,
0.36500001,0.3920522145,0.239059,0.41524819,0.27639231,0.53655553,0.43745241,0.54030931,0.44202858,0.34807914,0.32220376,0.33129519,0.53041834,0.40031707,0.48973763,0.52303517,0.36510742,0.3388581,0.37034601,0.34406945,0.28595528,0.3045764,,,,,,,,,,,,,,
0.366,0.39417981399999996,0.23971805,0.41527611,0.27834558,0.53899652,0.44022524,0.54276317,0.44374591,0.34960458,0.32358536,0.33279559,0.53213531,0.40270028,0.49211261,0.52520633,0.36949566,0.34197056,0.37167934,0.34881362,0.28730196,0.3071245,,,,,,,,,,,,,,
0.36700001,0.39566075300000003,0.24034986,0.41524494,0.28025442,0.54172146,0.44308046,0.54532236,0.44558209,0.3512654,0.32509947,0.33448273,0.53393352,0.40508541,0.4945367,0.52748984,0.371131,0.34186471,0.3731721,0.34510329,0.28872457,0.30977073,,,,,,,,,,,,,,
0.368,0.39721682500000005,0.24096331,0.4151541,0.28214508,0.54452258,0.44601426,0.54797578,0.44759211,0.35309803,0.32678005,0.33620214,0.53583646,0.40750536,0.4970302,0.52992165,0.37058175,0.34139839,0.37487975,0.34394678,0.29027051,0.31251821,,,,,,,,,,,,,,
0.36899999,0.3990281244999999,0.24156919,0.41500023,0.2840367,0.54718596,0.4490203,0.5506776,0.44980377,0.35508794,0.3286376,0.33786193,0.53784263,0.40997759,0.49959671,0.53250754,0.37024039,0.34144178,0.37682518,0.34591931,0.29197168,0.31535846,,,,,,,,,,,,,,
0.37,0.4009738540000001,0.24217705,0.41478288,0.28594056,0.54988986,0.45208791,0.55351824,0.45221841,0.35710719,0.33066061,0.3397691,0.5399335,0.41250581,0.50222528,0.53522968,0.3714408,0.34178141,0.37899363,0.34710261,0.29383579,0.31827676,,,,,,,,,,,,,,
0.37099999,0.4029408955000001,0.24279237,0.41450796,0.28786185,0.55263048,0.45520037,0.55620426,0.45481431,0.35917339,0.33282134,0.34178838,0.5420835,0.4150846,0.50489604,0.53805715,0.37206003,0.3426694,0.3813338,0.34773895,0.29584333,0.3212564,,,,,,,,,,,,,,
0.37200001,0.40512453649999997,0.24341582,0.41418681,0.28980187,0.55542111,0.45833611,0.55877203,0.45755491,0.36133829,0.33508587,0.34390303,0.54426938,0.41770506,0.50758827,0.54095709,0.37384605,0.3453522,0.38377023,0.34895068,0.29795387,0.32428205,,,,,,,,,,,,,,
0.373,0.4074141235,0.24404413,0.41383156,0.29175845,0.55826336,0.46147147,0.56144321,0.46039864,0.36365917,0.33742249,0.34614176,0.54647368,0.42035678,0.51028538,0.54390013,0.3761569,0.34813905,0.3862223,0.35085732,0.30011719,0.3273395,,,,,,,,,,,,,,
0.37400001,0.4093146825000001,0.24467215,0.41344944,0.29372615,0.56100315,0.46458551,0.56417918,0.46330824,0.36602533,0.33980688,0.34832466,0.54868525,0.42302832,0.51297742,0.54686069,0.37584797,0.34686863,0.38862467,0.35161859,0.30228558,0.33041584,,,,,,,,,,,,,,
0.375,0.411530622,0.24529421,0.41303802,0.29569477,0.56369376,0.4676618,0.56697106,0.46625391,0.36841083,0.34222087,0.35058942,0.55089492,0.42570469,0.51565838,0.54981089,0.37696356,0.34878907,0.39094266,0.35409966,0.30442217,0.33349779,,,,,,,,,,,,,,
0.37599999,0.41394238850000004,0.24590431,0.41258278,0.29765037,0.56629825,0.47069016,0.56977218,0.46921426,0.37081033,0.3446494,0.35297391,0.55309254,0.42836794,0.5183233,0.55271775,0.38009927,0.35293946,0.39318451,0.35649452,0.30651021,0.33657232,,,,,,,,,,,,,,
0.377,0.41611093099999996,0.24649478,0.41206121,0.2995801,0.56862092,0.47366479,0.57248217,0.4721753,0.37323147,0.34707576,0.35533199,0.55526531,0.43100169,0.52096403,0.55554855,0.3834762,0.35508338,0.39539224,0.35658449,0.30855629,0.33962795,,,,,,,,,,,,,,
0.37799999,0.41816521149999997,0.2470548,0.41145292,0.30147842,0.57085383,0.47658044,0.57519287,0.47512889,0.37566417,0.34948048,0.35760662,0.55740023,0.43359724,0.52356941,0.55828631,0.38502759,0.35671628,0.39760613,0.3573699,0.31058136,0.34265634,,,,,,,,,,,,,,
