Wavelength,AREF_Mean,AREF_1,AREF_2,AREF_3,AREF_4,AREF_5,AREF_6,AREF_7,AREF_8,AREF_9,AREF_10,AREF_11,AREF_12,AREF_13,AREF_14,AREF_15,AREF_16,AREF_17,AREF_18,AREF_19,AREF_20,AREF_21,AREF_22,AREF_23,AREF_24,RREF_Mean,RREF_1,RREF_2,RREF_3,RREF_4,RREF_5,RREF_6,RREF_7,RREF_8,RREF_9,RREF_10,RREF_11,RREF_12,RREF_13,RREF_14,RREF_15,RREF_16,RREF_17
0.34999999,0.17506983758823533,0.10781401,0.14485905,0.16304791,0.28316221,,0.28256038,0.42705262,,,0.083383493,,,,0.25055107,,0.074642941,0.10444526,0.098914191,0.12388374,0.055137504,0.12761073,0.09466356,0.144639,0.40981957,,,,,,,,,,,,,,,,,,
0.35100001,0.21722606512500006,0.10999388,0.14794602,0.16541152,0.28674138,0.27103963,0.28759608,0.42887568,0.38938865,0.10897749,0.085334055,0.43735501,0.42375281,0.27841613,0.25570965,0.29210907,0.074267842,0.106549,0.099831432,0.12566553,0.055533256,0.12649812,0.094691798,0.14830211,0.41343942,,,,,,,,,,,,,,,,,,
0.352,0.21946715458333332,0.11215883,0.15103656,0.167666,0.29020673,0.27122277,0.2924518,0.43051472,0.38827273,0.10753916,0.087335691,0.44180927,0.42822501,0.28564844,0.26075679,0.29641494,0.073702991,0.10882504,0.10077836,0.12761727,0.055991657,0.12536836,0.094726101,0.15195051,0.41699198,,,,,,,,,,,,,,,,,,
0.35299999,0.22115753291666665,0.11430016,0.15408182,0.16986451,0.29351312,0.27126783,0.29720783,0.43216211,0.39255905,0.11312677,0.089357167,0.43959156,0.42759269,0.28303453,0.26568043,0.29659536,0.073084667,0.1112914,0.10184221,0.12973477,0.056519281,0.1243718,0.094866745,0.1555872,0.42054778,,,,,,,,,,,,,,,,,,
0.354,0.22124230924999996,0.11642268,0.15705577,0.17207091,0.29664025,0.27125844,0.30193907,0.43399307,0.38855371,0.10970642,0.091374658,0.43285543,0.42182308,0.27424803,0.27047098,0.29046118,0.072563805,0.11395369,0.10309895,0.13201186,0.057112832,0.12362994,0.095196687,0.15921025,0.42416373,,,,,,,,,,,,,,,,,,
0.35499999,0.2235287529166667,0.11853813,0.15995859,0.17434186,0.29960024,0.2725032,0.30669135,0.43610892,0.38485569,0.10149328,0.093381546,0.4395622,0.42759538,0.28228131,0.27511629,0.29717207,0.072259389,0.11680313,0.10458763,0.13444677,0.05776047,0.1231985,0.095756225,0.16281207,0.42786583,,,,,,,,,,,,,,,,,,
0.35600001,0.22725859033333337,0.12065697,0.16280451,0.17671217,0.3024334,0.2730867,0.31147403,0.43852139,0.38634813,0.097192712,0.095386595,0.45181835,0.43876478,0.2976664,0.27959889,0.31025457,0.072229266,0.11982046,0.1063058,0.13704403,0.05844957,0.12306795,0.096542515,0.16638212,0.43164486,,,,,,,,,,,,,,,,,,
0.35699999,0.22885100387499993,0.12278181,0.16560361,0.17918834,0.30519551,0.27331319,0.31626633,0.4411763,0.38809294,0.097155876,0.097400673,0.4505474,0.43697989,0.29637966,0.28389558,0.30970272,0.072470106,0.12297879,0.10822191,0.13980797,0.059174173,0.12319184,0.097527325,0.16990899,0.43546316,,,,,,,,,,,,,,,,,,
0.35800001,0.23096020554166663,0.12490634,0.1683526,0.18175006,0.30794439,0.27387261,0.32103103,0.4439908,0.39217955,0.1018704,0.099423245,0.44867721,0.43846631,0.29535279,0.28798401,0.31024951,0.072934322,0.12624709,0.11029347,0.14273565,0.059937987,0.12351701,0.098677069,0.17338271,0.43926877,,,,,,,,,,,,,,,,,,
0.359,0.23349831508333332,0.12701713,0.17103676,0.1843562,0.31072485,0.27529061,0.32572421,0.44688323,0.39583993,0.10674759,0.10143473,0.44940823,0.44207555,0.29721034,0.29184887,0.31240216,0.073553175,0.1295929,0.11248121,0.14581145,0.060751405,0.12400148,0.099964552,0.17679416,0.44300884,,,,,,,,,,,,,,,,,,
0.36000001,0.23532052012499996,0.12909833,0.17364018,0.18695664,0.31356019,0.27647793,0.33030355,0.44979125,0.39766523,0.11033392,0.10340028,0.4486599,0.44037369,0.29612327,0.29548627,0.31041291,0.074259348,0.13298774,0.11475831,0.14900996,0.061626155,0.1246188,0.10137267,0.18013443,0.44664153,,,,,,,,,,,,,,,,,,
0.361,0.237901984375,0.13113511,0.17615436,0.18950267,0.31644958,0.27730995,0.33473039,0.4526746,0.3957113,0.10315113,0.10527944,0.45510823,0.44790843,0.30291438,0.29890344,0.31754827,0.074999467,0.13640971,0.11711103,0.15229984,0.062570378,0.12535234,0.10289037,0.18339345,0.45013976,,,,,,,,,,,,,,,,,,
0.36199999,0.24023499820833336,0.13311602,0.17858274,0.19195527,0.3193725,0.27806205,0.33897111,0.45551184,0.39637738,0.10185376,0.10703717,0.45794329,0.45118698,0.30667239,0.3021158,0.32177433,0.075738557,0.13984621,0.11953747,0.15564969,0.06358733,0.12618895,0.10450868,0.18655977,0.45349067,,,,,,,,,,,,,,,,,,
0.36300001,0.24191746358333333,0.13503389,0.18094106,0.19429058,0.32229298,0.27822983,0.3429974,0.45829543,0.40060467,0.10965134,0.10865375,0.45482442,0.44666374,0.30423385,0.30514416,0.31901336,0.076459602,0.14329457,0.1220447,0.15903097,0.064675584,0.12711346,0.10621629,0.18962017,0.45669332,,,,,,,,,,,,,,,,,,
0.36399999,0.24401266895833337,0.13688779,0.183255,0.19650838,0.3251676,0.27913925,0.34679356,0.46102813,0.40281898,0.11003166,0.11013895,0.45717299,0.44867119,0.30514929,0.30801383,0.32028791,0.077162437,0.14676204,0.12464432,0.16242142,0.065829508,0.12810442,0.10799561,0.19256213,0.45975766,,,,,,,,,,,,,,,,,,
0.36500001,0.24634044595833338,0.13868426,0.18555106,0.19863532,0.32796174,0.28096342,0.35036415,0.46371803,0.4034023,0.10668869,0.11153886,0.46072984,0.45293242,0.31009039,0.31074917,0.32479835,0.077859528,0.15026307,0.1273476,0.16581073,0.067043155,0.12913679,0.10982478,0.19537731,0.46269974,,,,,,,,,,,,,,,,,,
0.366,0.24850790975000003,0.14043501,0.18784404,0.20071401,0.33066359,0.28245771,0.35373282,0.46636945,0.40529892,0.10669379,0.11292312,0.46158147,0.45470604,0.31418747,0.31336594,0.3276985,0.078567512,0.15380958,0.13015915,0.16920127,0.068313882,0.13018888,0.111684,0.19806165,0.46553203,,,,,,,,,,,,,,,,,,
0.36700001,0.25043019125,0.14215371,0.19013229,0.20278448,0.33328626,0.28436214,0.35693154,0.46897522,0.4105655,0.11250483,0.11435898,0.45963052,0.45334342,0.3137885,0.31586775,0.32593247,0.079300046,0.15740289,0.13307475,0.17260502,0.069644064,0.13124819,0.11356253,0.20061269,0.4682568,,,,,,,,,,,,,,,,,,
0.368,0.2525865720416666,0.14385262,0.19239983,0.20486937,0.33585745,0.28628367,0.35998636,0.47151273,0.4123641,0.11378732,0.11588802,0.46098733,0.4560692,0.31587228,0.31824741,0.32819214,0.080064192,0.16102782,0.13607876,0.17603594,0.071038567,0.13231154,0.11545964,0.20302649,0.47086495,,,,,,,,,,,,,,,,,,
0.36899999,0.254572114875,0.14554092,0.19462252,0.20696907,0.33840421,0.28787789,0.36290723,0.47394726,0.41297829,0.11331573,0.11751414,0.4626385,0.45885512,0.31723663,0.32049191,0.33036423,0.080860078,0.1646544,0.13914436,0.17950341,0.072501719,0.13338214,0.11738201,0.20529732,0.47334167,,,,,,,,,,,,,,,,,,
0.37,0.2561468273333333,0.14722338,0.19677418,0.20906655,0.3409377,0.28956032,0.36568227,0.4762412,0.41573754,0.11587323,0.11920499,0.46136081,0.45780617,0.31506595,0.32258773,0.32830107,0.081682131,0.16824502,0.14223535,0.18300602,0.074034505,0.13446535,0.11933778,0.20742001,0.4756746,,,,,,,,,,,,,,,,,,
